 INFO  Accepting connections at http://localhost:3000
 HTTP  3/18/2026 9:29:39 PM ::1 GET /script.js
 HTTP  3/18/2026 9:29:39 PM ::1 Returned 200 in 12 ms
 HTTP  3/18/2026 9:29:39 PM ::1 Returned 404 in 28 ms
 HTTP  3/18/2026 9:29:39 PM ::1 Returned 404 in 29 ms
 HTTP  3/18/2026 9:29:39 PM ::1 Returned 200 in 16 ms
 HTTP  3/18/2026 9:29:41 PM ::1 GET /favicon.ico
 HTTP  3/18/2026 9:29:41 PM ::1 Returned 404 in 3 ms
 HTTP  3/18/2026 9:32:21 PM ::1 GET /
 HTTP  3/18/2026 9:32:21 PM ::1 Returned 304 in 49 ms
 HTTP  3/18/2026 9:32:21 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 9:32:21 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 9:32:21 PM ::1 Returned 304 in 6 ms
 HTTP  3/18/2026 9:32:21 PM ::1 GET /havlu.png
 HTTP  3/18/2026 9:32:21 PM ::1 Returned 304 in 8 ms
 HTTP  3/18/2026 9:32:21 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 9:32:21 PM ::1 GET /camasir_suyu.png
 HTTP  3/18/2026 9:32:21 PM ::1 Returned 304 in 2 ms
 HTTP  3/18/2026 9:32:21 PM ::1 GET /script.js
 HTTP  3/18/2026 9:32:21 PM ::1 GET /plus_surface_cleaner.png
 HTTP  3/18/2026 9:32:21 PM ::1 Returned 304 in 0 ms
 HTTP  3/18/2026 9:32:21 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 9:32:21 PM ::1 Returned 404 in 10 ms
 HTTP  3/18/2026 9:32:21 PM ::1 Returned 404 in 6 ms
 HTTP  3/18/2026 10:09:10 PM ::1 GET /favicon.ico
 HTTP  3/18/2026 10:09:10 PM ::1 Returned 404 in 4 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 2 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 10:13:44 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 0 ms
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 0 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /plus_surface_cleaner.png
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 0 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 0 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /script.js
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /havlu.png
 HTTP  3/18/2026 10:13:44 PM ::1 GET /camasir_suyu.png
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 404 in 1 ms
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 404 in 1 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /style.css?v=3
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /havlu.png
 HTTP  3/18/2026 10:13:44 PM ::1 GET /New%20logo.png
 HTTP  3/18/2026 10:13:44 PM ::1 GET /plus_surface_cleaner.png
 HTTP  3/18/2026 10:13:44 PM ::1 GET /warehouse_inventory.png
 HTTP  3/18/2026 10:13:44 PM ::1 GET /script.js
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 1 ms
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 304 in 2 ms
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 404 in 3 ms
 HTTP  3/18/2026 10:13:44 PM ::1 GET /camasir_suyu.png
 HTTP  3/18/2026 10:13:44 PM ::1 Returned 404 in 1 ms
